Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Sampling time]	Unit	Term Source REF	Term Accession Number
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-33	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-34	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-35	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-36	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-37	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-38	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-39	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-40	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-41	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-42	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
TACERA	Homo sapiens	NCBITAXON	http://purl.bioontology.org/ontology/NCBITAXON/9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0001239							Sample collection	TACERA-base-sera-43	0	month	UO	http://purl.obolibrary.org/obo/UO_0000035
