Sample Name	Parameter Value[Extraction Method]	Extract Name	Labeled Extract Name	Protocol REF	Parameter Value[NMR tube type]	Term Source REF	Term Accession Number	Parameter Value[Solvent]	Term Source REF	Term Accession Number	Parameter Value[Sample pH]	Parameter Value[Temperature]	Unit	Term Source REF	Term Accession Number	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[NMR Probe]	Term Source REF	Term Accession Number	Parameter Value[Number of transients]	Parameter Value[Pulse sequence name]	Parameter Value[Magnetic field strength]	Unit	Term Source REF	Term Accession Number	Acquisition Parameter Data File	Protocol REF	NMR Assay Name	Free Induction Decay Data File	Protocol REF	Data Transformation Name	Normalization Name	Derived Spectral Data File	Protocol REF	Metabolite Assignment File
TACERA-base-sera-21	Extraction	TACERA-base-sera-21		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-21	FILES/RAW_DATA/TACERA-base-sera-21.zip	Data transformation	TACERA-base-sera-21	TACERA-base-sera-21		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-22	Extraction	TACERA-base-sera-22		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-22	FILES/RAW_DATA/TACERA-base-sera-22.zip	Data transformation	TACERA-base-sera-22	TACERA-base-sera-22		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-23	Extraction	TACERA-base-sera-23		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-23	FILES/RAW_DATA/TACERA-base-sera-23.zip	Data transformation	TACERA-base-sera-23	TACERA-base-sera-23		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-24	Extraction	TACERA-base-sera-24		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-24	FILES/RAW_DATA/TACERA-base-sera-24.zip	Data transformation	TACERA-base-sera-24	TACERA-base-sera-24		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-25	Extraction	TACERA-base-sera-25		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-25	FILES/RAW_DATA/TACERA-base-sera-25.zip	Data transformation	TACERA-base-sera-25	TACERA-base-sera-25		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-26	Extraction	TACERA-base-sera-26		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-26	FILES/RAW_DATA/TACERA-base-sera-26.zip	Data transformation	TACERA-base-sera-26	TACERA-base-sera-26		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-27	Extraction	TACERA-base-sera-27		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-27	FILES/RAW_DATA/TACERA-base-sera-27.zip	Data transformation	TACERA-base-sera-27	TACERA-base-sera-27		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-28	Extraction	TACERA-base-sera-28		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-28	FILES/RAW_DATA/TACERA-base-sera-28.zip	Data transformation	TACERA-base-sera-28	TACERA-base-sera-28		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-29	Extraction	TACERA-base-sera-29		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-29	FILES/RAW_DATA/TACERA-base-sera-29.zip	Data transformation	TACERA-base-sera-29	TACERA-base-sera-29		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
TACERA-base-sera-30	Extraction	TACERA-base-sera-30		NMR sample	1.7 mm standard			0.1 M phosphate buffered D2O/H2O			7	300	kelvin	UO	http://purl.obolibrary.org/obo/UO_0000012	hydrogen atom	CHEBI	http://purl.obolibrary.org/obo/CHEBI_49637	NMR spectroscopy	Bruker AVANCE DRX 600 MHz spectrometer			1.7 mm CPTCI 1H-13C/15N/D Z-GRD			128	1D NOESY with presaturation and spoil gradients (noesygppr1d)	14.1	tesla	UO	http://purl.obolibrary.org/obo/UO_0000228	FILES/acqus.txt	NMR assay	TACERA-base-sera-30	FILES/RAW_DATA/TACERA-base-sera-30.zip	Data transformation	TACERA-base-sera-30	TACERA-base-sera-30		Metabolite identification	m_MTBLS1497_Serum_NMR_metabolite_profiling_v2_maf.tsv
